Order ID,Order Date,Product ID,Product Category,Buyer Gender,Buyer Age,Order Location,International Shipping,Sales Price,Shipping Charges,Sales per Unit,Quantity,Total Sales,Rating,Review
171682,04-11-2024,BF1545,Other,Female,22,Sacramento,No,10,0,10,2,20,3,It was ok.
162838,04-11-2024,BF1548,Clothing,Female,26,Sacramento,No,65,0,65,1,65,2,Low quality products are a usual here these days.
155461,04-11-2024,BF1552,Ornaments,Female,26,New York,No,45,0,45,2,90,5,Premium quality as usual.
172346,04-11-2024,BF1551,Ornaments,Male,23,Cleveland,No,15,0,15,1,15,5,Lack of delivery delays is greatly appreciated.
180207,04-11-2024,BF1544,Other,Male,33,Toronto,Yes,9,25,34,1,34,4,Incredible detailing was clearly evident.
130051,04-11-2024,BF1545,Other,Male,31,San Francisco,No,10,0,10,4,40,4,The Product exhibits good design.
142376,04-11-2024,BF1544,Other,Male,18,Sacramento,No,9,0,9,1,9,4,The product was delivered quickly.
192546,04-11-2024,BF1544,Other,Female,32,Toronto,Yes,9,25,34,1,34,4,Exquisite craftsmanship here is absolutely appreciated.
187269,04-11-2024,BF1544,Other,Male,32,Sacramento,No,9,0,9,3,27,3,The handling was questionable but incurred only minute damages.
189837,04-11-2024,BF1544,Other,Male,25,San Francisco,No,9,0,9,1,9,2,The promotion quality does not match the product
191892,04-11-2024,BF1548,Clothing,Female,18,Toronto,Yes,65,25,90,3,270,2,The product had an underwhelming design.
135286,04-11-2024,BF1543,Clothing,Female,20,Austin,No,100,0,100,4,400,2,The product is not as advertised.
128385,04-11-2024,BF1551,Ornaments,Male,30,Manchester,Yes,15,40,55,1,55,4,The product was delivered quickly.
192848,04-11-2024,BF1544,Other,Male,27,New Jersey,No,9,0,9,1,9,4,Great design is one of the major positives of this product.
133752,04-11-2024,BF1547,Ornaments,Male,27,San Antonio,No,32,0,32,3,96,4,The product was delivered quickly.
189420,04-11-2024,BF1543,Clothing,Male,19,New York,No,100,0,100,3,300,4,The delivery team handled the product with care.
148352,04-11-2024,BF1551,Ornaments,Male,34,San Antonio,No,15,0,15,2,30,4,The product was affordable here compared to other brands.
132788,03-11-2024,BF1546,Clothing,Male,19,New Jersey,No,118,0,118,1,118,5,Lack of delivery delays is greatly appreciated.
198014,03-11-2024,BF1548,Clothing,Male,24,Memphis,No,65,0,65,1,65,5,The Product exhibits good design.
162881,03-11-2024,BF1548,Clothing,Female,30,Sydney,Yes,65,100,165,1,165,2,The product is not as advertised.
151514,03-11-2024,BF1548,Clothing,Female,18,Montreal,Yes,65,25,90,1,90,5,Great design is one of the major positives of this product.
130905,03-11-2024,BF1552,Ornaments,Male,19,San Francisco,No,45,0,45,1,45,4,Exquisite craftsmanship here is absolutely appreciated.
178611,03-11-2024,BF1546,Clothing,Male,30,Austin,No,118,0,118,1,118,4,The product was delivered quickly.
164879,03-11-2024,BF1554,Ornaments,Female,25,Sacramento,No,20,0,20,3,60,5,The product had excellent quality.
180245,03-11-2024,BF1548,Clothing,Male,19,Sacramento,No,65,0,65,3,195,4,The product was affordable here compared to other brands.
156523,03-11-2024,BF1543,Clothing,Male,32,New Delhi,Yes,100,70,170,2,340,3,The handling was questionable but incurred only minute damages.
199778,03-11-2024,BF1544,Other,Male,32,London,Yes,9,40,49,1,49,4,The delivery team handled the product with care.
193687,03-11-2024,BF1544,Other,Male,18,Miami,No,9,0,9,4,36,4,Exquisite craftsmanship here is absolutely appreciated.
186103,03-11-2024,BF1548,Clothing,Male,31,Detroit,No,65,0,65,1,65,5,The Product exhibits good design.
144743,03-11-2024,BF1548,Clothing,Male,31,Sydney,Yes,65,100,165,3,495,4,The Product exhibits good design.
142292,03-11-2024,BF1546,Clothing,Male,28,Paris,Yes,118,50,168,1,168,1,Clear delays in delivery.
182242,03-11-2024,BF1550,Clothing,Male,19,Memphis,No,97,0,97,1,97,5,Great design is one of the major positives of this product.
120942,03-11-2024,BF1552,Ornaments,Male,29,New York,No,45,0,45,2,90,5,The product was affordable here compared to other brands.
199391,03-11-2024,BF1553,Ornaments,Female,22,Glasgow,Yes,50,40,90,4,360,2,"Unfortunately, the delivery was late."
130107,03-11-2024,BF1548,Clothing,Male,22,San Francisco,No,65,0,65,1,65,3,Average product
